     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Team,Name,G,AB,R,K,PO,BA,K Pct,PO/G
Atlanta Chaos,Roy Cody Jr,9,45,16,11,4,0.356,0.244,0.444
Atlanta Chaos,Garrick Scott,9,44,23,9,11,0.523,0.205,1.222
Atlanta Chaos,Adrian Tamplin,9,38,12,13,6,0.316,0.342,0.667
Atlanta Chaos,Dontre Hunt,7,31,22,4,6,0.710,0.129,0.857
Atlanta Chaos,Darnell Jacobs,8,30,10,10,0,0.333,0.333,0.000
Atlanta Chaos,Takeisha Saffold,7,28,5,6,5,0.179,0.214,0.714
Atlanta Chaos,Courtney Williams,9,23,4,12,12,0.174,0.522,1.333
Atlanta Chaos,Mel Ellis,3,13,7,3,3,0.538,0.231,1.000
Atlanta Chaos,Cortez Hill,1,0,0,0,2,0.000,0.000,2.000
Austin Blackhawks,Darius Sterling,8,40,21,13,28,0.525,0.325,3.500
Austin Blackhawks,Daniel Brock,8,40,20,12,0,0.500,0.300,0.000
Austin Blackhawks,Mariano Reynoso,8,35,18,9,5,0.514,0.257,0.625
Austin Blackhawks,Mike Finn,8,33,8,21,15,0.242,0.636,1.875
Austin Blackhawks,Ed Manning,8,30,13,6,6,0.433,0.200,0.750
Austin Blackhawks,Drew Bernet,7,27,13,7,12,0.481,0.259,1.714
Austin Blackhawks,Daveon Perez-R,7,16,5,8,3,0.313,0.500,0.429
Austin Blackhawks,Ashley Malero,6,6,3,1,1,0.500,0.167,0.167
Austin Blackhawks,Faith Penn,2,4,1,1,0,0.250,0.250,0
Austin Blackhawks,Sarai Hernandez,4,3,1,1,4,0.333,0.333,1.000
Austin Blackhawks,Ernest Cook,1,2,0,2,0,0.000,1.000,0
Austin Blackhawks,Robert Perez,1,1,0,0,0,0.000,0.000,0.000
Austin Blackhawks,Jamie Sibson,4,1,0,1,1,0.000,1.000,0.25
Austin Blackhawks,Pam Chesser,2,0,0,0,0,0.000,0.000,0.000
Austin Blackhawks,Bobby Lakey,1,0,0,0,0,0.000,0.000,0.000
Bayou City Heat,Tanner Gers,9,52,41,3,0,0.788,0.058,0.000
Bayou City Heat,Mike Coughlin,9,51,35,3,25,0.686,0.059,2.778
Bayou City Heat,Joe Fleeks,9,44,32,6,8,0.727,0.136,0.889
Bayou City Heat,Brandon Chesser,8,42,29,2,7,0.690,0.048,0.875
Bayou City Heat,Jacory Wiley,9,34,20,3,3,0.588,0.088,0.333
Bayou City Heat,Daryl Minor,7,30,14,6,4,0.467,0.200,0.571
Bayou City Heat,Chad Sumner,9,24,9,5,1,0.375,0.208,0.111
Bayou City Heat,Richie Flores,9,12,6,3,17,0.500,0.250,1.889
Bayou City Heat,Alex Gonzales,6,6,3,1,0,0.500,0.167,0.000
Bayou City Heat,Dennis Lynch,4,2,1,1,2,0.500,0.500,0.500
Bayou City Heat,Melvin Gatewood,5,1,0,0,0,0.000,0.000,0.000
Bayou City Heat,Glady Bally Cruz-R,1,0,0,0,0,0.000,0.000,0.000
Bayou City Heat,Lee Rodriguez,1,0,0,0,0,0.000,0.000,0.000
Boston Renegades,Shayne Cantan,9,41,20,13,7,0.488,0.317,0.778
Boston Renegades,Shawn Devenish,9,37,25,2,10,0.676,0.054,1.111
Boston Renegades,David Sanchez,9,32,15,10,1,0.469,0.313,0.111
Boston Renegades,Drew Crook,8,30,13,8,5,0.433,0.267,0.625
Boston Renegades,Christian Thaxton,7,28,21,6,0,0.750,0.214,0.000
Boston Renegades,Guy Zuccarello,9,25,11,4,18,0.440,0.160,2.000
Boston Renegades,Chris Kimball,9,19,8,2,2,0.421,0.105,0.222
Boston Renegades,Louis Rodriguez,8,18,8,3,1,0.444,0.167,0.125
Boston Renegades,Elana Regan,8,17,5,3,0,0.294,0.176,0.000
Boston Renegades,Joe Yee,7,13,7,2,0,0.538,0.154,0.000
Boston Renegades,Joe McCormick,6,10,4,5,2,0.400,0.500,0.333
Boston Renegades,Ivan Rodriguez,8,10,0,6,2,0.000,0.600,0.250
Boston Renegades,Rob Dias,9,8,6,0,22,0.750,0.000,2.444
Boston Renegades,Melissa Hoyt,4,1,0,1,1,0.000,1.000,0.250
Braille Bandits,Zephryn Victor,7,24,6,13,21,0.250,0.542,3.000
Braille Bandits,Ralph Smith,7,22,1,15,6,0.045,0.682,0.857
Braille Bandits,Romario Blake,7,21,6,12,8,0.286,0.571,1.143
Braille Bandits,Jeffrey Tyler,7,21,1,15,2,0.048,0.714,0.286
Braille Bandits,Katharyn Jedynak,7,16,0,14,0,0.000,0.875,0.000
Braille Bandits,Jakeshia Davis-R,5,15,4,6,2,0.267,0.400,0.400
Braille Bandits,Tasha Lee,5,10,1,7,0,0.100,0.700,0.000
Braille Bandits,Pam McKenzie-R,4,7,0,7,0,0.000,1.000,0.000
Braille Bandits,Andrew Salmon,4,6,0,1,0,0.000,0.167,0.000
Chicago Comets,Dustin Youngren,8,39,28,6,15,0.718,0.154,1.875
Chicago Comets,Richie Schultz,8,39,25,4,9,0.641,0.103,1.125
Chicago Comets,Alex Gamino,8,32,11,6,11,0.344,0.188,1.375
Chicago Comets,Bill Landram,7,30,21,5,5,0.700,0.167,0.714
Chicago Comets,Lamarion Aldridge,8,30,11,7,1,0.367,0.233,0.125
Chicago Comets,Gerardo Tavera,7,29,12,6,0,0.414,0.207,0.000
Chicago Comets,Dan Hernandez,7,15,4,2,7,0.267,0.133,1.000
Chicago Comets,Chris Jackson,4,11,3,2,0,0.273,0.182,0.000
Chicago Comets,Mike McGlashon,4,5,3,0,1,0.600,0.000,0.250
Chicago Comets,Kalari Jackson,5,5,1,1,10,0.200,0.200,2.000
Chicago Comets,Kendrick Vaughn,2,4,2,1,0,0.500,0.250,0.000
Cleveland Scrappers,Stanley Griffin,8,36,17,9,31,0.472,0.250,3.875
Cleveland Scrappers,Christian Keeley,8,33,15,10,8,0.455,0.303,1.000
Cleveland Scrappers,Jeff Dell,8,32,13,13,3,0.406,0.406,0.375
Cleveland Scrappers,Antonio Dobyne,8,31,17,5,4,0.548,0.161,0.500
Cleveland Scrappers,Steve Miller,8,29,13,10,0,0.448,0.345,0.000
Cleveland Scrappers,Rob Weigand,7,25,14,6,9,0.560,0.240,1.286
Cleveland Scrappers,Dan Kelly,6,10,6,3,2,0.600,0.300,0.333
Cleveland Scrappers,Tracy Parks,4,9,2,3,0,0.222,0.333,0.000
Cleveland Scrappers,Wilbert Turner,3,6,3,0,0,0.500,0.000,0.000
Cleveland Scrappers,Kevin Burton,8,5,1,1,6,0.200,0.200,0.750
Cleveland Scrappers,Christina Lombard,3,4,0,3,0,0.000,0.750,0.000
Cleveland Scrappers,Marion Parker,2,2,1,1,0,0.500,0.500,0.000
Cleveland Scrappers,Tony Guy,4,2,0,2,1,0.000,1.000,0.250
Gateway Archers,Marc Morris,8,44,32,5,24,0.727,0.114,3.000
Gateway Archers,Ethan Johnston,8,44,28,7,33,0.636,0.159,4.125
Gateway Archers,Kyle Borah,8,43,26,10,25,0.605,0.233,3.125
Gateway Archers,Rich Krussel,7,36,22,6,10,0.611,0.167,1.429
Gateway Archers,Chad Dillon,8,33,16,9,1,0.485,0.273,0.125
Gateway Archers,Demetris Morrow,8,26,13,4,1,0.500,0.154,0.125
Gateway Archers,Henry Allen,6,14,7,6,0,0.500,0.429,0.000
Gateway Archers,Kaleb Wright-R,4,9,4,2,0,0.444,0.222,0.000
Gateway Archers,Zion Prince,5,7,3,3,0,0.429,0.429,0.000
Gateway Archers,Steve Patten,6,6,3,3,2,0.500,0.500,0.333
Gateway Archers,Leul McChesney,2,3,1,1,0,0.333,0.333,0.000
Gateway Archers,Mel,1,3,1,1,0,0.333,0.333,0.000
Gateway Archers,Brandon,1,2,0,2,0,0.000,1.000,0.000
Gateway Archers,Liam McCoy,6,1,1,0,0,1.000,0.000,0.000
Houston Hurricanes,John Marquez,7,26,10,12,3,0.385,0.462,0.429
Houston Hurricanes,John Parker,5,23,10,1,1,0.435,0.043,0.200
Houston Hurricanes,Jason Walters,4,20,9,3,9,0.450,0.150,2.250
Houston Hurricanes,Tim Syphers,6,19,5,10,0,0.263,0.526,0.000
Houston Hurricanes,Josh Perry,5,18,7,5,7,0.389,0.278,1.400
Houston Hurricanes,Roy Hutchins,6,17,5,8,3,0.294,0.471,0.500
Houston Hurricanes,Doug Biggins,4,15,7,1,4,0.467,0.067,1.000
Houston Hurricanes,Willie Harrison,5,15,5,9,2,0.333,0.600,0.400
Houston Hurricanes,Alex Quick,5,15,3,10,6,0.200,0.667,1.200
Houston Hurricanes,PJ Navarro,7,14,5,3,4,0.357,0.214,0.571
Houston Hurricanes,Hunter Mouton,4,10,3,3,0,0.300,0.300,0.000
Houston Hurricanes,Juan Munoz,4,8,0,2,0,0.000,0.250,0.000
Houston Hurricanes,Ronnie Bellamy,4,3,0,2,1,0.000,0.667,0.250
Houston Hurricanes,Blake Boudreaux,4,2,1,1,1,0.500,0.500,0.250
Indy Edge,Eric Rodriguez,7,40,26,4,45,0.650,0.100,6.429
Indy Edge,Nick Mulherin,7,38,28,4,11,0.737,0.105,1.571
Indy Edge,Corey White,7,38,28,4,2,0.737,0.105,0.286
Indy Edge,Justin Holland,7,38,21,11,2,0.553,0.289,0.286
Indy Edge,Corion White,7,37,19,10,4,0.514,0.270,0.571
Indy Edge,Aaron See,7,34,22,6,2,0.647,0.176,0.286
Indy Edge,Elijah Burns,4,4,4,0,0,1.000,0.000,0.000
Indy Edge,Mike Malloy,1,1,0,1,0,0.000,1.000,0.000
Indy Edge,Mike Jackson,3,0,0,0,0,0.000,0.000,0.000
Indy Edge,Jason Dobbs,2,0,0,0,0,0.000,0.000,0.000
Indy Edge,Danny Foppiano,5,0,0,0,6,0.000,0.000,1.200
Indy Edge,Alvin Suarez,1,0,0,0,0,0.000,0.000,0.000
Indy Edge,Miguel T,1,0,0,0,0,0.000,0.000,0.000
Indy Thunder,Zach Buhler,8,48,35,2,22,0.729,0.042,2.750
Indy Thunder,Gerald Dycus,7,42,33,1,0,0.786,0.024,0.000
Indy Thunder,Cody Jefferes,7,39,34,0,10,0.872,0.000,1.429
Indy Thunder,Kyle Lewis,7,37,22,7,8,0.595,0.189,1.143
Indy Thunder,Chris Dunlavy,7,34,19,0,6,0.559,0.000,0.857
Indy Thunder,Ikram Ikramullah,8,22,14,4,8,0.636,0.182,1.000
Indy Thunder,Toby Gregory,7,22,14,0,2,0.636,0.000,0.286
Indy Thunder,EJ Sellers-R,6,16,10,1,2,0.625,0.063,0.333
Indy Thunder,Daniel Diaz-R,4,14,9,3,1,0.643,0.214,0.250
Indy Thunder,Kevin Smith,7,13,8,1,0,0.615,0.077,0.000
Indy Thunder,Adam Rodenbeck,7,8,2,2,17,0.250,0.250,2.429
Indy Thunder,Michael Lewis,4,7,4,1,2,0.571,0.143,0.500
Indy Thunder,Dylan Berry,4,5,2,2,1,0.400,0.400,0.250
Indy Thunder,Chase Dickey-R,3,4,2,1,1,0.500,0.250,0.333
Indy Thunder,Xavier Wallace-R,1,1,0,0,0,0.000,0.000,0.000
Indy Thunder,Clint Woodard,4,0,0,0,3,0.000,0.000,0.750
Indy Thunder,Rebecca Lewis,2,0,0,0,1,0.000,0.000,0.500
Indy Thunder,James Michaels,3,0,0,0,8,0.000,0.000,2.667
Minnesota Millers,Evan Van Duyne,9,42,19,13,27,0.452,0.310,3.000
Minnesota Millers,Josh Xiong,9,39,14,14,10,0.359,0.359,1.111
Minnesota Millers,Riley Schmitz,9,38,16,13,3,0.421,0.342,0.333
Minnesota Millers,Pat Lemke,9,38,7,20,1,0.184,0.526,0.111
Minnesota Millers,Kyle Kuhlman,8,27,8,5,8,0.296,0.185,1.000
Minnesota Millers,Todd Paulson,6,18,2,8,1,0.111,0.444,0.167
Minnesota Millers,Eric Harms,6,16,2,7,0,0.125,0.438,0.000
Minnesota Millers,Tori Andres-R,5,8,0,8,0,0.000,1.000,0.000
Minnesota Millers,Steve Guerra,8,2,1,0,8,0.500,0.000,1.000
New Jersey Titans,Zak Turner,7,36,21,11,7,0.583,0.306,1.000
New Jersey Titans,Marvin Morgan,7,35,20,11,0,0.571,0.314,0.000
New Jersey Titans,Randy George,7,35,13,11,30,0.371,0.314,4.286
New Jersey Titans,Alphonso Harrell,7,34,17,11,5,0.500,0.324,0.714
New Jersey Titans,Damien Gonzales,7,33,13,10,8,0.394,0.303,1.143
New Jersey Titans,Lamont Bordley,7,31,14,13,8,0.452,0.419,1.143
New Jersey Titans,John Cruz,2,2,0,2,0,0.000,1.000,0.000
New Jersey Titans,Rich Koppenjan,2,2,0,1,0,0.000,0.500,0.000
New Jersey Titans,Walli Salahuddin,6,1,0,1,0,0.000,1.000,0.000
New Jersey Titans,John Patterson,4,0,0,0,4,0.000,0.000,1.000
Oklahoma Lookouts,Mark Ivy-R,8,37,23,8,12,0.622,0.216,1.500
Oklahoma Lookouts,Aaron Higby-R,8,37,20,3,8,0.541,0.081,1.000
Oklahoma Lookouts,Jay Teagal,8,34,18,5,3,0.529,0.147,0.375
Oklahoma Lookouts,Kyle Ivy-R,8,33,15,3,5,0.455,0.091,0.625
Oklahoma Lookouts,Casey Bahn,8,27,9,3,12,0.333,0.111,1.500
Oklahoma Lookouts,David Gwin,7,17,7,4,1,0.412,0.235,0.143
Oklahoma Lookouts,Jay Tysick,5,15,7,3,5,0.467,0.200,1.000
Oklahoma Lookouts,Lea Werner,6,11,2,4,2,0.182,0.364,0.333
Oklahoma Lookouts,Bob Selby,5,9,4,1,0,0.444,0.111,0.000
Oklahoma Lookouts,Greg McDuffie,3,6,3,0,0,0.500,0.000,0.000
Oklahoma Lookouts,Ronnie Dowell,6,6,0,6,2,0.000,1.000,0.333
Philly Fire,Tyler Rodriguez,8,42,28,6,21,0.667,0.143,2.625
Philly Fire,John Margist,8,42,27,6,10,0.643,0.143,1.250
Philly Fire,Scott Hogwood,8,38,27,3,3,0.711,0.079,0.375
Philly Fire,Justin Rhines,8,37,28,3,6,0.757,0.081,0.750
Philly Fire,Casey Krouse,8,36,28,5,35,0.778,0.139,4.375
Philly Fire,Nick Silver,8,29,19,6,1,0.655,0.207,0.125
Philly Fire,Cesar Lazcano,6,14,7,5,2,0.500,0.357,0.333
Philly Fire,Dakota Hogwood,6,3,2,0,1,0.667,0.000,0.167
Philly Fire,Jace Russell-R,5,3,1,1,0,0.333,0.333,0.000
Philly Fire,Gina Natoli,6,3,0,2,1,0.000,0.667,0.167
Philly Fire,Megan Fink,5,2,1,0,2,0.500,0.000,0.400
Philly Fire,Ron Hawthorne,4,2,0,2,0,0.000,1.000,0.000
San Antonio Jets,David Smith,9,47,38,3,11,0.809,0.064,1.222
San Antonio Jets,Axel Cox,9,47,25,9,13,0.532,0.191,1.444
San Antonio Jets,Zach Arambula,9,43,29,6,44,0.674,0.140,4.889
San Antonio Jets,Aaron Almanza,9,42,28,6,3,0.667,0.143,0.333
San Antonio Jets,Ricardo Casteneda,9,39,21,7,27,0.538,0.179,3.000
San Antonio Jets,Will Lopez,6,34,15,7,5,0.441,0.206,0.833
San Antonio Jets,Hector Lara,6,11,9,1,0,0.818,0.091,0.000
SGV Panthers,Jason Esterhuizen,6,23,8,10,16,0.348,0.435,2.667
SGV Panthers,Bee Yang,6,22,11,10,6,0.500,0.455,1.000
SGV Panthers,Jairo Rodriguez,6,18,5,10,3,0.278,0.556,0.500
SGV Panthers,Darren Keepers,6,17,2,8,0,0.118,0.471,0.000
SGV Panthers,Eric Varela,6,15,3,7,3,0.200,0.467,0.500
SGV Panthers,Victor Hernandez,5,13,5,3,1,0.385,0.231,0.200
SGV Panthers,Alex Marositz,6,13,0,6,7,0.000,0.462,1.167
SGV Panthers,Leo Medina,4,10,1,4,1,0.100,0.400,0.250
SGV Panthers,Joe Duncan,3,6,0,3,1,0.000,0.500,0.333
SGV Panthers,Brendan Wright-R,3,2,0,2,1,0.000,1.000,0.333
SGV Panthers,Betsy Estrada,3,1,0,0,0,0.000,0.000,0.000
St Louis Sirens,Klarah Bloomer-R,6,21,1,11,2,0.048,0.524,0.333
St Louis Sirens,Corery Turner-R,6,19,1,10,4,0.053,0.526,0.667
St Louis Sirens,Kim Blumenthal,6,18,2,3,6,0.111,0.167,1.000
St Louis Sirens,Kaitlyn Overshiner-R,6,18,2,8,11,0.111,0.444,1.833
St Louis Sirens,Lauren Morales-R,6,16,0,10,1,0.000,0.625,0.167
St Louis Sirens,Amy Sweigard-R,6,14,1,9,1,0.071,0.643,0.167
St Louis Sirens,Katherine Warren-R,4,7,0,4,0,0.000,0.571,0.000
St Louis Sirens,Whitney Marin-R,2,2,0,1,0,0.000,0.500,0.000
Tyler Tigers,Ronald Jordan,7,37,28,3,7,0.757,0.081,1.000
Tyler Tigers,Larry D Williams,7,34,9,5,9,0.265,0.147,1.286
Tyler Tigers,Carlos Black,7,33,15,10,5,0.455,0.303,0.714
Tyler Tigers,Gregory Roberts,7,31,17,4,6,0.548,0.129,0.857
Tyler Tigers,Alex Barrera,7,31,16,9,3,0.516,0.290,0.429
Tyler Tigers,Tracey Jackson,7,20,1,6,0,0.050,0.300,0.000
Tyler Tigers,John Ingram,5,11,4,3,0,0.364,0.273,0.000
Tyler Tigers,Edgar Erickson,5,8,1,3,1,0.125,0.375,0.200
Tyler Tigers,Joe Smolka,6,0,0,0,2,0.000,0.000,0.333
Tyler Tigers,Rosie Reed,2,0,0,0,2,0.000,0.000,1.000
Tyler Tigers,Larry Reed,1,0,0,0,0,0.000,0.000,0.000
